               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019611,            0.025229,           0.0026458,             0.83523,             0.88824,             0.92713,             0.77421,            0.013715,            0.016097,           0.0013302,            0.008845,            0.008845,            0.008845
                  37,            0.019629,            0.024793,           0.0023252,             0.83932,             0.88175,             0.93291,             0.77827,            0.013604,            0.015821,           0.0012005,            0.008812,            0.008812,            0.008812
                  38,            0.019385,            0.024622,           0.0027067,             0.83266,             0.88656,             0.92519,             0.77368,            0.013475,             0.01636,           0.0012103,            0.008779,            0.008779,            0.008779
                  39,            0.019213,             0.02465,           0.0026634,             0.83582,             0.85413,             0.92441,              0.7726,            0.013543,            0.016139,           0.0020221,            0.008746,            0.008746,            0.008746
                  40,            0.019167,            0.025035,           0.0025682,             0.83356,             0.87506,             0.92649,             0.77499,            0.013381,            0.015785,           0.0014416,            0.008713,            0.008713,            0.008713
                  41,            0.019245,            0.024438,           0.0026423,              0.8207,             0.90647,             0.93025,             0.77596,            0.013755,            0.016409,           0.0012081,             0.00868,             0.00868,             0.00868
                  42,            0.019252,            0.024287,           0.0024374,             0.86113,             0.86185,             0.92547,             0.76903,            0.013757,            0.016139,           0.0016098,            0.008647,            0.008647,            0.008647
                  43,            0.018994,            0.025053,           0.0026705,             0.85261,             0.84419,             0.92645,             0.77413,            0.013555,            0.016147,           0.0013247,            0.008614,            0.008614,            0.008614
                  44,            0.019107,            0.023857,           0.0023668,             0.84127,             0.87496,             0.92776,             0.77253,            0.013391,            0.016106,            0.001414,            0.008581,            0.008581,            0.008581
                  45,            0.018853,             0.02401,           0.0020094,             0.87866,             0.84239,             0.92909,             0.78144,             0.01317,            0.015777,           0.0014449,            0.008548,            0.008548,            0.008548
                  46,            0.018615,            0.023537,           0.0019617,             0.86593,             0.84583,             0.92665,             0.78041,            0.013326,             0.01595,           0.0015013,            0.008515,            0.008515,            0.008515
                  47,            0.018599,            0.024029,           0.0017861,             0.82844,             0.89143,              0.9252,             0.77353,            0.013464,            0.016247,           0.0011169,            0.008482,            0.008482,            0.008482
                  48,            0.018214,            0.023048,           0.0016328,             0.84838,             0.87826,             0.92779,             0.78056,            0.013389,            0.015999,           0.0014585,            0.008449,            0.008449,            0.008449
