               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021115,            0.027535,           0.0024352,             0.77154,              0.7219,             0.78592,             0.68814,             0.01664,            0.023705,           0.0041332,            0.008845,            0.008845,            0.008845
                  37,            0.020886,            0.026774,           0.0023165,             0.72853,             0.86821,             0.81621,             0.69411,             0.01745,            0.024556,           0.0039825,            0.008812,            0.008812,            0.008812
                  38,            0.020588,            0.026795,           0.0023842,             0.82859,             0.77542,             0.81266,             0.69063,            0.017808,            0.026627,           0.0040299,            0.008779,            0.008779,            0.008779
                  39,            0.020357,            0.027421,           0.0023796,             0.80402,             0.82019,             0.82136,             0.70823,            0.017098,            0.024129,           0.0044337,            0.008746,            0.008746,            0.008746
                  40,            0.019814,             0.02615,           0.0025533,             0.81661,              0.8001,             0.80917,             0.69851,            0.016927,            0.025202,           0.0036784,            0.008713,            0.008713,            0.008713
                  41,            0.019676,            0.026232,           0.0022884,             0.79914,             0.75999,             0.79465,             0.69334,            0.017843,            0.026332,           0.0039834,             0.00868,             0.00868,             0.00868
                  42,            0.021119,            0.026489,           0.0027355,             0.68549,             0.84328,             0.79198,             0.68724,            0.017731,            0.027614,           0.0042905,            0.008647,            0.008647,            0.008647
                  43,            0.019841,            0.026069,           0.0024806,             0.80128,             0.76062,             0.81075,             0.71002,             0.01718,            0.026803,           0.0045089,            0.008614,            0.008614,            0.008614
                  44,            0.019859,            0.026221,           0.0022746,             0.79722,             0.77796,             0.81572,             0.70273,            0.017289,            0.025505,           0.0042748,            0.008581,            0.008581,            0.008581
                  45,             0.01957,            0.025255,           0.0022777,             0.80554,             0.79023,             0.83204,             0.73065,            0.017628,            0.024913,           0.0035368,            0.008548,            0.008548,            0.008548
                  46,            0.019519,            0.024592,           0.0022113,             0.82245,              0.8294,             0.83834,             0.73779,            0.017198,            0.025052,           0.0043323,            0.008515,            0.008515,            0.008515
                  47,            0.018858,            0.023859,           0.0021992,             0.74309,             0.84535,             0.79446,             0.68565,            0.016731,            0.024617,           0.0045303,            0.008482,            0.008482,            0.008482
                  48,            0.019229,             0.02541,           0.0020374,             0.78663,             0.79651,             0.83024,             0.72495,            0.017543,            0.025742,           0.0046148,            0.008449,            0.008449,            0.008449
                  49,            0.018687,            0.024544,            0.001915,             0.74682,             0.82412,             0.80816,             0.70428,            0.016328,            0.024845,           0.0049422,            0.008416,            0.008416,            0.008416
                  50,            0.019733,            0.024567,           0.0020428,              0.7651,             0.75514,             0.81081,             0.70338,            0.016653,             0.02453,            0.004227,            0.008383,            0.008383,            0.008383
                  51,            0.019569,            0.025464,           0.0018783,             0.70578,             0.82944,             0.79996,             0.69611,            0.016636,             0.02528,           0.0044917,             0.00835,             0.00835,             0.00835
                  52,            0.018986,            0.025643,           0.0019683,              0.8734,             0.74985,             0.84149,             0.73333,            0.016266,            0.024735,           0.0050783,            0.008317,            0.008317,            0.008317
                  53,             0.01828,            0.025914,           0.0019007,             0.81365,             0.80572,             0.82838,             0.72156,             0.01627,            0.024943,           0.0041826,            0.008284,            0.008284,            0.008284
